zich verplaatsen|se déplacer
de verplaatsing|le déplacement
rondrijden|circuler
het verkeer|la circulation
zich begeven naar|se rendre à
terugkeren naar|retourner
zijn vervoermiddel kiezen|choisir son mode de transport
de zachte mobiliteit|la mobilité douce
stappen|marcher
het voetpad|le trottoir
een voetganger|un piéton
een zwakke weggebruiker|un usager faible
wandelen|se promener
de straat oversteken|traverser la rue
wachten voor het rood licht|attendre aux feux rouges
omvergereden worden|se faire renverser
omkeren|faire demi-tour
fietsen|rouler à vélo
trappen (op de pedalen)|pédaler
een fietser|un cycliste
het fietspad|la piste cyclable
een helm dragen|porter un casque
een fluovestje dragen|porter un gilet fluo
zichtbaar zijn op de weg|être visible sur la route
het stuur|le guidon
het zadel|la selle
de rem|le frein
het slot|le cadenas
de ketting|la chaîne
de elektrische step|la trottinette électrique
de bakfiets|le vélo cargo
het openbaar vervoer nemen|prendre les transports en commun
de reizigers|les passagers
met de trein reizen|voyager en train
een abonnement hebben|avoir un abonnement
een ticket kopen|acheter un billet
de dienstregeling raadplegen|consulter les horaires
het loket|le guichet
uitstappen|descendre
de buschauffeur|le chauffeur de bus
de rechtstreekse verbinding|la ligne directe
de aansluiting|la correspondance
het station|la gare
het perron|le quai
stiptheid|la ponctualité
klagen over vertragingen|se plaindre des retards
een voertuig|un véhicule
een automobilist|un automobiliste
met de auto rijden|conduire une voiture
door het rood rijden|brûler un feu rouge
pendelen|faire la navette
carpoolen|le covoiturage
tanken|faire le plein
een laadpaal|une borne de recharge
de bedrijfswagen|la voiture de société
parkeren|se garer
de spitsuren|les heures de pointe
een file|un embouteillage
wegenwerken|les travaux routiers
de omleiding volgen|suivre la déviation
het rijbewijs behalen|passer le permis
de rijschool|l'auto-école
de rijinstructeur|le moniteur
het theoretisch examen|l'examen théorique
de wegcode|le code de la route
het praktijkexamen|l'examen pratique
de verkeersregels naleven|respecter les règles de circulation
de verkeersborden|les panneaux de signalisation
het stuurwiel|le volant
de band|le pneu
een lekke band|le pneu crevé
de voorruit|le pare-brise
de achteruitkijkspiegel|le rétroviseur
de richtingaanwijzer|le clignotant
het zebrapad|le passage pour piétons
de snelweg|l'autoroute
het kruispunt|le carrefour
het rondpunt|le rond-point
starten|démarrer
remmen|freiner
vertragen|ralentir
versnellen|accélérer
achteruitrijden|reculer
links afslaan|tourner à gauche
inhalen|dépasser
voorrang verlenen|céder le passage
claxonneren|klaxonner
de gordel dragen|attacher sa ceinture
snelheidsbeperkingen|limitations de vitesse
waakzaam zijn|être vigilant
de controle verliezen|perdre le contrôle
slippen|déraper
een aanrijding|une collision
een ongeval aangeven|signaler un accident
de hulpdiensten bellen|appeler les secours
getuigen|témoigner
een aanrijdingsformulier invullen|faire un constat
materiële schade|les dégâts matériels
een boete|une amende
het intrekken van het rijbewijs|le retrait du permis
de grens oversteken|traverser la ronde
opstijgen|décoller
landen|atterrir
een vlucht|un vol
de luchthaven|l'aéroport
varen|naviguer
een cruise maken|faire une croisière
